,city,country,lat,lng,date,max_temp,humidity,cloudiness,windspeed
318,karatuzskoye,ru,53.1232917445339,93.24070516861723,1552788181,30.87,87.0,88.0,4.47
319,salinopolis,br,1.9515585882924569,-47.325918594773846,1552788183,81.0,94.0,92.0,11.18
320,linxia,cn,33.56994063071053,102.91065288948738,1552788184,33.08,71.0,88.0,3.58
321,batagay-alyta,ru,66.79186051680483,127.8521084734872,1552788185,-8.1,72.0,0.0,4.03
322,beidao,cn,34.50969605861093,104.57939384724042,1552788187,43.38,86.0,92.0,3.69
323,hirara,jp,19.993889650943814,127.19827352344156,1552784400,69.8,60.0,75.0,10.29
324,umm lajj,sa,25.1296659244792,36.62042869716518,1552788190,57.56,100.0,0.0,11.74
325,gizo,sb,-9.841385471171321,154.09847355536988,1552788073,57.2,71.0,40.0,13.87
326,novoplatnirovskaya,ru,46.14622949511647,39.350660614565136,1552788017,37.0,92.0,68.0,6.93
327,haapsalu,ee,59.07725886450632,23.478701038052662,1552788003,34.0,98.0,36.0,5.01
328,yaan,cn,31.139202463159567,100.76798501583009,1552788195,76.23,90.0,12.0,10.29
329,bermeo,es,45.00849295828011,-3.0360299321562247,1552788129,55.0,87.0,44.0,2.24
330,sept-iles,ca,54.973622173592865,-65.73821476019312,1552787611,23.0,79.0,90.0,19.46
331,iqaluit,ca,59.46038727628323,-63.62955889449962,1552784400,3.2,54.0,75.0,21.92
332,udachnyy,ru,67.98842436250615,112.12736398023878,1552788199,5.63,55.0,68.0,4.7
333,inhambane,mz,-28.77114465558345,38.179055996222786,1552788202,77.49,91.0,92.0,7.16
334,ocean city,us,37.10057105967586,-73.31389978444827,1552788138,55.0,53.0,90.0,6.93
335,tieli,cn,46.2991609138881,128.39021561932134,1552788204,40.77,57.0,0.0,10.85
336,zhanakorgan,kz,44.200021500777865,67.39454842140776,1552788205,54.14,75.0,44.0,10.74
337,nara,ml,17.95712624725536,-7.952143804334383,1552788199,50.0,81.0,75.0,10.29
338,melfi,td,11.114723097717588,17.831322162421856,1552788208,31.59,85.0,44.0,2.24
339,yeniseysk,ru,58.43250125905803,91.01248920692963,1552788209,27.41,85.0,80.0,6.6
340,aguimes,es,24.799160454058093,-15.476241387770644,1552788170,64.4,72.0,0.0,23.04
341,america dourada,br,-11.556502931833606,-41.066197137888906,1552788211,69.26,56.0,0.0,6.15
342,mount gambier,au,-39.05299215610404,140.28973805741157,1552784400,69.8,73.0,0.0,6.93
343,tala,eg,30.714766669135763,30.693799285955947,1552788017,77.0,23.0,75.0,4.7
344,yarmouth,ca,44.31670012568284,-66.70840538430372,1552788199,44.01,87.0,12.0,14.99
345,comodoro rivadavia,ar,-43.02555142648907,-68.32757078083078,1552784400,71.6,53.0,0.0,8.05
346,ewa beach,us,19.948185446421892,-158.57742166862062,1552788188,82.4,54.0,1.0,20.8
347,muisne,ec,1.271262775904802,-81.92723412913591,1552788223,71.28,97.0,8.0,3.02
348,lazaro cardenas,mx,3.917818177987442,-109.83362019034084,1552788007,60.8,31.0,20.0,10.29
349,biggar,ca,51.94578201685812,-108.39159346588032,1552788193,37.0,93.0,20.0,10.29
350,rafai,cf,6.299275329908768,24.151343455066524,1552788227,67.73,61.0,8.0,5.59
351,merrill,us,46.10681633062919,-90.40865719389808,1552788012,55.99,24.0,1.0,6.93
352,puerto del rosario,es,25.37217680187457,-11.194590499374783,1552786200,62.6,67.0,0.0,8.05
353,isabela,us,21.028281899716504,-66.91102132583495,1552788231,83.7,74.0,0.0,3.47
354,tombouctou,ml,17.953163428943682,-2.1469417559722785,1552788233,66.6,38.0,0.0,3.24
355,lakselv,no,69.49678089864625,24.35650166466857,1552788035,19.4,61.0,12.0,21.92
356,sharjah,ae,25.728373330026997,56.05171610830133,1552787654,75.2,64.0,0.0,8.05
357,jimo,cn,36.025628891211035,121.19165922390387,1552788006,71.01,40.0,0.0,2.24
358,sioux lookout,ca,54.57473493380408,-90.90341926872128,1552784400,23.0,62.0,75.0,3.36
